id,host_id,host_is_superhost,name,price,neighbourhood,host_name,beds,neighbourhood_group_cleansed,review_scores_rating
21513691,12730028,f,Rental unit in Porto · ★4.32 · 4 bedrooms · 8 beds · 2 baths,$129.00,"Porto, Portugal",Host,8,PORTO,4.32
21512946,156319757,f,Rental unit in Porto · ★4.24 · 2 bedrooms · 1 bed · 1 bath,$214.00,,Viriato,1,PORTO,4.24
21507910,28851633,f,Home in Touguinha · 2 bedrooms · 2 beds · 1 bath,$113.00,,António,2,VILA DO CONDE,5.0
21503571,12730028,f,Rental unit in Porto · ★4.51 · Studio · 2 beds · 1 bath,$46.00,"Porto, Portugal",Host,2,PORTO,4.51
21500523,156206479,f,Home in Porto · ★4.84 · 3 bedrooms · 3 beds · 1 bath,$70.00,"Porto, Portugal",Rui Mário,3,PORTO,4.84
21499539,101838501,f,Rental unit in Porto · ★4.73 · 1 bedroom · 1 bed · 1 bath,$48.00,"Porto, Portugal",Porto City Hosts,1,PORTO,4.73
21497168,156175295,t,Serviced apartment in Porto · ★4.84 · 1 bedroom · 1 bed · 1 shared bath,$17.00,,Alexandre,1,PORTO,4.84
21489471,156106061,t,Loft in Porto · ★4.82 · 2 bedrooms · 2 beds · 1 bath,$71.00,"Porto, Porto District, Portugal",José,2,PORTO,4.82
21485814,10364726,t,Rental unit in Porto · ★4.77 · Studio · 1 bed · 1 bath,$69.00,"Porto, Portugal",Manor House Porto,1,PORTO,4.77
21485540,108719088,f,"Camper/RV in Canidelo, Vila Nova de Gaia · 1 bed · 1 bath",,"Canidelo, Vila Nova de Gaia, Porto, Portugal",Loes,1,VILA NOVA DE GAIA,
21474320,142371613,t,Rental unit in Porto · ★4.89 · 2 bedrooms · 3 beds · 1 bath,$60.00,,Daniel,3,PORTO,4.89
21473289,155106429,t,Rental unit in Porto · ★4.72 · 2 bedrooms · 6 beds · 1 bath,$102.00,"Porto, Portugal",Pedro,6,PORTO,4.72
21466328,124045164,t,Rental unit in Porto · ★4.84 · 3 bedrooms · 7 beds · 2.5 baths,$277.00,,Stefan,7,PORTO,4.84
21466032,124064965,t,Rental unit in Porto · ★4.90 · 2 bedrooms · 3 beds · 1 bath,$127.00,"Porto, Portugal",Miguel,3,PORTO,4.9
21459275,143646981,f,Villa in Espinho · ★4.0 · 1 bedroom · 3 beds · 1 private bath,$107.00,"Espinho, Aveiro, Portugal",Jaime,3,ESPINHO,4.0
21458772,143646981,f,Villa in Espinho · ★4.41 · 3 bedrooms · 4 beds · 1 private bath,$88.00,"Espinho, Aveiro, Portugal",Jaime,4,ESPINHO,4.41
21448172,144662044,f,Rental unit in Porto · 3 bedrooms · 5 beds · 1 bath,,,Bruno,5,PORTO,3.5
21446242,120744603,f,Rental unit in P · 2 bedrooms · 3 beds · 1 bath,$85.00,,Jose,3,PÓVOA DE VARZIM,5.0
21443808,155583090,t,Home in Arcozelo · ★4.91 · 1 bedroom · 1 bed · 1 private bath,,,Mário,1,VILA NOVA DE GAIA,4.91
21438856,154599542,t,Rental unit in Porto · ★4.67 · 6 bedrooms · 11 beds · 4 baths,$514.00,"Porto, Portugal",Gabriela Alina,11,PORTO,4.67
21417819,153103002,f,Rental unit in Porto · ★4.65 · 2 bedrooms · 1 bed · 1 bath,$50.00,"Porto, Portugal",Maria Amélia,1,PORTO,4.65
21404741,96274320,f,Rental unit in Porto · ★4.64 · 2 bedrooms · 5 beds · 1.5 baths,$81.00,"Porto, Portugal",Raphael Ralph,5,PORTO,4.64
21404640,46792155,f,Rental unit in Porto · ★4.91 · 3 bedrooms · 4 beds · 2 baths,$104.00,,Manuela,4,PORTO,4.91
21391796,154836057,f,Home in Porto · ★4.49 · 2 bedrooms · 3 beds · 2 baths,$55.00,"Porto, Portugal",Sérgio,3,PORTO,4.49
